0,1,2,3,4,5,6,7,8,9
" Saturday, June 3",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 New England Revolution New York City FC,--,0%0%,0%0%,--,0%0%,0%0%,+245-105,76%24%,50%50%
 Portland Timbers Seattle Sounders,--,0%0%,0%0%,--,0%0%,0%0%,+350-145,56%44%,24%76%
 DC Utd Inter Miami,--,0%0%,0%0%,--,0%0%,0%0%,+170+145,53%47%,51%49%
 Charlotte FC Columbus Crew,--1,0%100%,0%100%,--,0%0%,0%0%,+450-200,36%64%  ,14%86%
 Chicago Fire FC Cincinnati,--,0%0%,0%0%,--,0%0%,0%0%,+360-155,5%95%,7%93%
 CF Montreal Philadelphia Union,--1,0%100%,0%100%,--,0%0%,0%0%,+475-195,22%78%,9%91%
 Orlando City New York Red Bulls,--,0%0%,0%0%,--,0%0%,0%0%,+330-125,50%50%,22%78%
 Nashville SC FC Dallas,+0.5-,100%0%,100%0%,--,0%0%,0%0%,+205+125,83%17%,57%43%
 Real Salt Lake Austin FC,--,0%0%,0%0%,--,0%0%,0%0%,+245-105,15%  85%,15%85%
 Toronto FC Minnesota Utd,--,0%0%,0%0%,--,0%0%,0%0%,+295-120,41%59%,17%83%
 Houston Dynamo St Louis City SC,--,0%0%,0%0%,--,0%0%,0%0%,+310-125,6%94%,8%92%
 San Jose Earthquakes Colorado Rapids,--,0%0%,0%0%,--,0%0%,0%0%,+245+100,79%21%,55%45%
 Sporting Kansas City Vancouver Whitecaps,+0.5-,100%0%,100%0%,--,0%0%,0%0%,+255-115,63%37%,27%73%
